feature,theta
bias,43.37339613485254
travel_time_min,-7.627232631426992
walk_distance_m,-3.4914610324368183
congestion,-7.784453902207574
transfers,-3.725268234716644
departure_hour,-0.01990018209127717
bus_line_Line 2,2.0879772792067337
bus_line_Line 3,2.091838962539674
bus_line_Line 4,2.1175870654637934
bus_line_Line 5,2.08933890759819
weekday_Mon,3.0098824286914256
weekday_Sat,2.954859797912183
weekday_Sun,2.9878747973314543
weekday_Thr,2.954505540965359
weekday_Tue,3.0286310134648944
weekday_Wed,3.0020494671484887
